time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2020-06-17,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-06-18,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-06-19,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-06-22,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-06-23,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-06-24,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-06-25,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-06-26,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-06-29,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-06-30,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-01,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-02,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-03,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-06,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-07,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-08,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-09,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-10,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-13,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-14,21.429,21.429,21.429,21.429,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-15,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-16,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-17,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-20,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-21,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-22,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-23,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-24,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-27,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-28,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-29,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-30,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-07-31,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-03,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-04,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-05,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-06,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-07,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-10,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-11,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-12,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-13,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-14,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-17,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-18,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-19,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-20,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-21,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-24,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-25,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-26,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-27,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-28,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-08-31,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-01,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-03,21.43,21.43,21.43,21.43,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-04,13.059,13.059,13.059,13.059,3000,39177.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-07,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-08,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-09,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-10,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-11,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-14,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-15,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-16,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-17,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-18,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-21,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-22,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-23,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-24,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-25,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-28,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-29,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-09-30,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-01,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-02,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-05,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-06,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-07,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-08,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-09,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-12,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-13,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-14,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-15,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-16,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-19,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-20,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-21,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-22,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-23,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-26,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-27,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-28,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-29,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-10-30,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-02,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-03,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-04,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-05,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-06,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-09,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-10,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-11,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-12,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-13,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-16,13.059,13.059,13.059,13.059,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-17,13.394,13.394,13.394,13.394,1000,13394.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-18,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-19,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-20,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-23,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-24,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-25,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-26,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-27,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-11-30,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-01,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-02,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-03,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-04,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-07,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-08,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-09,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-10,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-11,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-14,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-15,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-16,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-17,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-18,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-21,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-22,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-23,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-24,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-25,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-28,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-29,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-30,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-12-31,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-04,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-05,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-06,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-07,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-08,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-11,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-12,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-13,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-14,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-15,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-18,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-19,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-20,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-21,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-22,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-25,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-26,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-27,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-28,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-01-29,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-02-01,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-02-02,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-02-03,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-02-04,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-02-05,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-02-08,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-02-09,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-02-17,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-02-18,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-02-19,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-02-22,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-02-23,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-02-24,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-02-25,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-02-26,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-01,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-02,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-03,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-04,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-05,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-08,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-09,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-10,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-11,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-12,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-15,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-16,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-17,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-18,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-19,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-22,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-23,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-24,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-25,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-26,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-29,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-30,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-03-31,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-04-01,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-04-02,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-04-05,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-04-06,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-04-07,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-04-08,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-04-09,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-04-12,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-04-13,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-04-14,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-04-15,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-04-16,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-04-19,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-04-20,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-04-22,13.394,13.394,13.394,13.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
