time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2018-08-07,6.177,6.424,4.942,5.374,465100,2499447.4,,,,,
2018-08-08,5.374,6.486,5.374,5.868,452721,2656566.828,,,,,
2018-08-09,6.115,6.239,5.312,6.115,256811,1570399.265,,,,,
2018-08-10,5.745,6.115,5.374,5.436,213435,1160232.66,,,,,
2018-08-13,5.868,6.115,5.251,6.115,608321,3719882.915,,,,,
2018-08-14,5.93,5.992,5.312,5.559,215585,1198437.015,,,,,
2018-08-15,5.807,5.868,5.312,5.498,301154,1655744.692,,,,,
2018-08-16,5.559,5.807,5.436,5.559,254405,1414237.395,,,,,
2018-08-17,5.559,5.807,5.436,5.621,232938,1309344.498,,,,,
2018-08-20,5.683,5.745,5.498,5.498,312731,1719395.0380000002,,,,,
2018-08-21,5.683,5.745,5.312,5.498,286640,1575946.72,,,,,
2018-08-22,5.436,5.621,5.251,5.436,414933,2255575.788,,,,,
2018-08-23,5.559,5.683,5.374,5.436,170328,925903.008,,,,,
2018-08-24,5.559,6.424,5.559,5.683,680649,3868128.267,,,,,
2018-08-27,5.683,6.301,5.559,5.559,403722,2244290.598,,,,,
2018-08-28,5.807,5.93,5.436,5.559,280578,1559733.102,,,,,
2018-08-29,5.498,5.559,5.436,5.436,68360,371604.96,,,,,
2018-08-30,5.436,5.559,5.374,5.559,92124,512117.316,,,,,
2018-08-31,5.374,5.683,5.374,5.436,181696,987699.456,,,,,
2018-09-04,5.436,5.436,5.251,5.436,60537,329079.132,,,,,
2018-09-05,5.436,5.498,5.127,5.312,168869,897032.128,,,,,
2018-09-06,5.065,5.374,5.065,5.189,185740,963804.86,,,,,
2018-09-07,5.251,5.251,5.004,5.127,164266,842191.782,,,,,
2018-09-10,5.127,5.127,4.88,4.942,185593,917200.606,,,,,
2018-09-11,4.88,5.374,4.633,5.374,370275,1989857.85,,,,,
2018-09-12,5.004,5.189,4.88,4.942,176225,870903.9500000001,,,,,
2018-09-13,5.004,5.065,4.942,5.004,198076,991172.304,,,,,
2018-09-14,5.065,5.312,4.942,5.127,181152,928766.304,,,,,
2018-09-17,5.251,5.251,5.004,5.065,151610,767904.65,,,,,
2018-09-18,5.065,5.065,4.942,5.004,134994,675509.9759999999,,,,,
2018-09-19,4.942,5.004,4.88,4.942,196527,971236.434,,,,,
2018-09-20,4.942,4.942,4.88,4.942,193494,956247.348,,,,,
2018-09-21,5.004,5.374,4.942,5.127,360098,1846222.446,,,,,
2018-09-24,5.251,5.559,5.065,5.127,248609,1274618.343,,,,,
2018-09-25,5.251,5.93,5.251,5.498,493247,2711872.006,,,,,
2018-09-26,5.745,5.868,5.374,5.559,435407,2420427.5130000003,,,,,
2018-09-27,5.807,6.177,5.559,5.807,728675,4231415.725000001,,,,,
2018-09-28,5.868,6.177,5.745,5.868,804080,4718341.44,,,,,
2018-10-01,5.868,5.868,5.436,5.436,40106,218016.216,,,,,
2018-10-02,5.312,5.436,4.942,5.312,25267,134218.304,,,,,
2018-10-03,5.312,5.312,5.189,5.189,29002,150491.378,,,,,
2018-10-04,5.251,5.374,5.251,5.251,43844,230224.844,,,,,
2018-10-05,5.312,5.436,5.251,5.251,91532,480634.532,,,,,
2018-10-08,5.312,5.374,5.251,5.312,38167,202743.104,,,,,
2018-10-09,5.251,5.251,5.127,5.189,50331,261167.559,,,,,
2018-10-10,5.189,5.189,5.004,5.004,39090,195606.36,,,,,
2018-10-11,5.004,5.004,4.818,4.818,77606,373905.708,,,,,
2018-10-12,4.88,4.88,4.695,4.88,45531,222191.28,,,,,
2018-10-15,4.88,4.942,4.818,4.818,20080,96745.44,,,,,
2018-10-16,4.818,4.942,4.756,4.942,10972,54223.624,,,,,
2018-10-17,4.942,4.942,4.756,4.88,19577,95535.76,,,,,
2018-10-18,4.942,4.942,4.695,4.695,33983,159550.185,,,,,
2018-10-19,4.633,4.695,4.571,4.571,13602,62174.742,,,,,
2018-10-22,4.818,4.818,4.633,4.633,14386,66650.338,,,,,
2018-10-23,4.509,4.695,4.509,4.695,29305,137586.975,,,,,
2018-10-24,4.571,4.571,4.509,4.509,23053,103945.977,,,,,
2018-10-25,4.201,4.509,4.201,4.509,8221,37068.489,,,,,
2018-10-26,4.139,4.386,4.139,4.262,15270,65080.73999999999,,,,,
2018-10-29,4.262,4.262,4.077,4.139,24790,102605.81,,,,,
2018-10-30,4.015,4.201,4.015,4.201,25566,107402.766,,,,,
2018-10-31,4.201,4.262,3.83,4.262,45128,192335.536,,,,,
2018-11-01,4.077,4.139,3.953,3.953,20600,81431.8,,,,,
2018-11-02,4.015,4.201,3.892,4.201,86373,362852.973,,,,,
2018-11-05,4.077,4.201,4.077,4.077,24718,100775.286,,,,,
2018-11-06,4.077,4.571,4.077,4.262,15070,64228.34,,,,,
2018-11-07,4.324,4.386,4.262,4.324,23000,99452.0,,,,,
2018-11-08,4.324,4.324,4.324,4.324,5674,24534.376,,,,,
2018-11-09,4.262,4.262,4.201,4.201,20155,84671.155,,,,,
2018-11-12,4.077,4.201,4.015,4.139,22900,94783.1,,,,,
2018-11-13,4.015,4.077,4.015,4.077,22247,90701.019,,,,,
2018-11-14,4.015,4.015,3.953,4.015,15610,62674.15,,,,,
2018-11-15,4.015,4.015,3.83,3.892,29351,114234.092,,,,,
2018-11-16,3.768,3.892,3.706,3.892,13356,51981.552,,,,,
2018-11-19,3.83,3.953,3.83,3.892,19264,74975.488,,,,,
2018-11-20,3.892,3.953,3.892,3.953,11925,47139.525,,,,,
2018-11-21,3.953,3.953,3.953,3.953,8900,35181.7,,,,,
2018-11-22,4.139,4.139,3.768,3.953,24660,97480.98,,,,,
2018-11-23,3.83,3.892,3.83,3.83,16990,65071.7,,,,,
2018-11-26,3.83,3.83,3.768,3.83,11930,45691.9,,,,,
2018-11-27,3.953,3.953,3.706,3.768,19500,73476.0,,,,,
2018-11-28,3.768,3.83,3.768,3.768,10010,37717.68,,,,,
2018-11-29,3.706,3.768,3.706,3.706,14065,52124.89,,,,,
2018-11-30,3.706,3.706,3.645,3.645,7324,26695.98,,,,,
2018-12-03,3.706,3.706,3.459,3.521,9619,33868.499,,,,,
2018-12-04,3.397,3.459,3.336,3.397,60270,204737.19,,,,,
2018-12-05,3.397,3.521,3.336,3.459,20140,69664.26,,,,,
2018-12-06,3.459,3.459,3.397,3.397,34553,117376.541,,,,,
2018-12-07,3.397,3.459,3.397,3.459,11600,40124.4,,,,,
2018-12-10,3.397,3.521,3.397,3.459,22210,76824.39,,,,,
2018-12-11,3.459,3.459,3.397,3.459,15951,55174.509,,,,,
2018-12-12,3.397,3.459,3.397,3.397,33667,114366.799,,,,,
2018-12-13,3.459,3.521,3.397,3.459,40094,138685.146,,,,,
2018-12-14,3.459,3.459,3.397,3.397,31015,105357.955,,,,,
2018-12-17,3.397,3.397,3.336,3.336,28800,96076.8,,,,,
2018-12-18,3.397,3.397,3.336,3.336,36925,123181.8,,,,,
2018-12-19,3.397,3.397,3.212,3.274,26428,86525.272,,,,,
2018-12-20,3.212,3.212,3.027,3.027,21900,66291.3,,,,,
2018-12-21,3.027,3.15,3.027,3.027,16079,48671.133,,,,,
2018-12-24,3.089,3.089,3.089,3.089,14400,44481.6,,,,,
2018-12-25,3.089,3.089,2.965,3.027,30300,91718.1,,,,,
2018-12-26,3.027,3.027,3.027,3.027,12400,37534.8,,,,,
2018-12-27,3.089,3.089,2.842,2.965,34041,100931.565,,,,,
2018-12-28,3.027,3.027,2.842,2.965,13760,40798.4,,,,,
2019-01-02,2.965,2.965,2.842,2.965,12338,36582.17,,,,,
2019-01-03,2.903,2.965,2.903,2.903,29970,87002.91,,,,,
2019-01-04,2.903,2.903,2.903,2.903,6224,18068.272,,,,,
2019-01-07,2.903,2.903,2.903,2.903,19300,56027.9,,,,,
2019-01-08,2.903,3.336,2.903,3.15,23987,75559.05,,,,,
2019-01-09,3.15,3.15,3.089,3.15,8660,27279.0,,,,,
2019-01-10,3.089,3.089,2.842,3.089,14090,43524.01,,,,,
2019-01-11,2.965,3.15,2.965,3.15,7668,24154.2,,,,,
2019-01-14,3.027,3.15,2.965,3.15,4210,13261.5,,,,,
2019-01-15,3.15,3.15,3.027,3.089,14360,44358.04,,,,,
2019-01-16,3.089,3.15,3.089,3.15,4360,13734.0,,,,,
2019-01-17,3.089,3.15,3.089,3.15,3590,11308.5,,,,,
2019-01-18,3.15,3.15,3.089,3.15,3100,9765.0,,,,,
2019-01-21,3.089,3.089,3.027,3.089,5920,18286.88,,,,,
2019-01-22,3.089,3.089,3.027,3.027,8588,25995.876,,,,,
2019-01-23,3.089,3.089,3.089,3.089,13760,42504.64,,,,,
2019-01-24,3.089,3.15,3.027,3.089,11176,34522.664,,,,,
2019-01-25,3.089,3.212,3.089,3.212,30980,99507.76,,,,,
2019-01-28,3.089,3.089,3.089,3.089,35644,110104.316,,,,,
2019-01-29,3.089,3.089,3.027,3.027,10797,32682.519,,,,,
