time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-03-09,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,
2010-03-10,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,
2010-03-11,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,
2010-03-12,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,
2010-03-15,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,
2010-03-16,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,
2010-03-17,45.31,45.31,45.31,45.31,10,453.1,,,,,,,,
2010-03-18,45.31,45.31,45.31,45.31,0,0.0,,,,,,,,
2010-03-19,45.31,45.31,45.31,45.31,0,0.0,,,,,,,,
2010-03-22,45.31,45.31,45.31,45.31,0,0.0,,,,,,,,
2010-03-23,45.31,45.31,45.31,45.31,0,0.0,,,,,,,,
2010-03-24,45.31,45.31,45.31,45.31,0,0.0,,,,,,,,
2010-03-26,45.31,45.31,45.31,45.31,0,0.0,,,,,,,,
2010-03-29,45.31,45.31,45.31,45.31,0,0.0,,,,,,,,
2010-03-30,45.31,0.0,0.0,0.0,0,0.0,,,,,,,,
2010-03-31,45.31,45.31,45.31,45.31,0,0.0,,,,,,,,
2010-04-01,45.31,45.31,45.31,45.31,0,0.0,,,,,,,,
2010-04-02,45.31,45.31,45.31,45.31,0,0.0,,,,,,,,
2010-04-05,45.31,45.31,45.31,45.31,0,0.0,,,,,,,,
2010-04-06,40.78,40.78,40.78,40.78,3325,135593.5,,,,,,,,
2010-04-07,40.78,40.78,40.78,40.78,0,0.0,,,,,,,,
2010-04-08,40.78,40.78,40.78,40.78,0,0.0,,,,,,,,
2010-04-09,40.78,40.78,40.78,40.78,0,0.0,,,,,,,,
2010-04-12,40.78,40.78,40.78,40.78,0,0.0,,,,,,,,
2010-04-13,36.7,36.7,36.7,36.7,783,28736.1,,,,,,,,
2010-04-14,36.7,0.0,0.0,0.0,0,0.0,,,,,,,,
2010-04-15,33.08,33.08,33.08,33.08,867,28680.36,,,,,,,,
2010-04-16,29.81,29.81,29.81,29.81,5269,157068.88999999998,,,,,,,,
2010-04-19,29.81,29.81,29.81,29.81,0,0.0,,,,,,,,
2010-04-20,26.91,26.91,26.91,26.91,10,269.1,,,,,,,,
2010-04-21,24.29,24.29,24.29,24.29,1183,28735.07,,,,,,,,
2010-04-22,21.93,21.93,21.93,21.93,767,16820.31,,,,,,,,
2010-04-26,21.93,21.93,21.93,21.93,0,0.0,,,,,,,,
2010-04-27,19.75,19.75,19.75,19.75,20,395.0,,,,,,,,
2010-04-28,17.85,17.85,17.85,17.85,3544,63260.4,,,,,,,,
2010-04-29,16.13,16.13,16.13,16.13,510,8226.3,,,,,,,,
2010-05-04,14.59,14.77,14.59,14.77,23982,354214.14,,,,,,,,
2010-05-05,15.41,15.41,14.5,14.5,6279,91045.5,,,,,,,,
2010-05-06,13.59,13.59,13.59,13.59,10,135.9,,,,,,,,
2010-05-07,12.23,12.23,12.23,12.23,10,122.3,,,,,,,,
2010-05-10,13.41,13.41,13.41,13.41,1000,13410.0,,,,,,,,
2010-05-11,14.68,14.68,12.14,12.14,130,1578.2,,,,,,,,
2010-05-12,12.69,13.96,12.69,13.96,1510,21079.6,,,,,,,,
2010-05-13,12.23,13.96,11.51,13.77,2070,28503.9,,,,,,,,
2010-05-14,12.69,12.69,11.33,12.32,2337,28791.84,,,,,,,,
2010-05-17,12.32,12.32,11.15,12.32,5405,66589.6,,,,,,,,
2010-05-18,11.24,11.24,11.24,0.0,100,0.0,,,,,,,,
2010-05-19,12.32,12.32,12.32,12.32,520,6406.400000000001,,,,,,,,
2010-05-20,11.15,11.15,11.15,11.15,100,1115.0,,,,,,,,
