time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-04-26,11.9,13.02,11.2,11.2,5800,64959.99999999999,,,,,,,,
2010-04-27,12.27,12.65,11.53,11.72,6500,76180.0,,,,,,,,
2010-04-28,11.72,11.9,11.34,11.34,4900,55566.0,,,,,,,,
2010-04-29,11.72,11.72,11.53,11.72,12200,142984.0,,,,,,,,
2010-05-04,11.64,11.64,11.16,11.57,1800,20826.0,,,,,,,,
2010-05-05,11.46,11.9,11.46,11.87,8900,105643.0,,,,,,,,
2010-05-06,11.9,11.9,11.9,11.9,12000,142800.0,,,,,,,,
2010-05-07,11.16,11.9,11.16,11.9,1600,19040.0,,,,,,,,
2010-05-10,11.34,11.68,11.34,11.68,5400,63072.0,,,,,,,,
2010-05-11,11.64,11.64,11.16,11.16,18200,203112.0,,,,,,,,
2010-05-12,11.34,11.42,11.34,11.34,24100,273294.0,,,,,,,,
2010-05-13,10.97,10.97,10.97,10.97,200,2194.0,,,,,,,,
2010-05-14,11.34,11.72,11.31,11.72,10100,118372.0,,,,,,,,
2010-05-17,11.01,11.38,11.01,11.01,400,4404.0,,,,,,,,
2010-05-18,11.23,11.23,11.23,11.23,100,1123.0,,,,,,,,
2010-05-19,11.23,11.23,10.45,10.45,2500,26125.0,,,,,,,,
2010-05-20,10.41,11.34,10.41,11.34,10700,121338.0,,,,,,,,
2010-05-21,10.6,10.6,9.89,10.41,12100,125961.0,,,,,,,,
2010-05-24,9.67,9.67,9.52,9.52,2400,22848.0,,,,,,,,
2010-05-25,9.41,9.41,8.89,8.89,30400,270256.0,,,,,,,,
2010-05-26,9.48,9.48,9.34,9.48,6000,56880.0,,,,,,,,
2010-05-27,9.86,10.04,8.93,10.04,4400,44175.99999999999,,,,,,,,
2010-05-28,10.38,10.41,10.38,10.41,3900,40599.0,,,,,,,,
2010-05-31,10.12,10.15,10.12,10.15,1300,13195.0,,,,,,,,
2010-06-01,10.41,10.41,10.34,10.34,300,3102.0,,,,,,,,
2010-06-02,10.38,10.38,10.08,10.38,2400,24912.000000000004,,,,,,,,
2010-06-03,10.71,10.71,10.71,10.71,100,1071.0,,,,,,,,
2010-06-04,10.08,10.08,10.08,10.08,1000,10080.0,,,,,,,,
2010-06-07,9.45,10.08,9.41,9.41,4700,44227.0,,,,,,,,
2010-06-08,9.63,10.08,9.63,10.08,2000,20160.0,,,,,,,,
2010-06-09,10.04,10.04,10.04,10.04,100,1004.0,,,,,,,,
2010-06-10,10.01,10.01,10.01,10.01,1000,10010.0,,,,,,,,
2010-06-11,9.37,9.37,9.37,9.37,100,937.0,,,,,,,,
2010-06-14,9.67,10.01,9.67,10.01,1300,13013.0,,,,,,,,
2010-06-15,10.6,10.6,10.04,10.04,1200,12047.999999999998,,,,,,,,
2010-06-16,9.67,10.01,9.67,9.67,18700,180829.0,,,,,,,,
2010-06-17,10.27,10.27,9.67,9.71,4900,47579.00000000001,,,,,,,,
2010-06-18,9.67,9.67,9.67,9.67,200,1934.0,,,,,,,,
2010-06-21,9.71,9.71,9.67,9.67,800,7736.0,,,,,,,,
