time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-01-03,20.278,20.278,20.278,20.278,700,14194.6,,,,,,,,
2017-01-04,23.278,23.278,23.278,23.278,8868,206429.304,,,,,,,,
2017-01-05,26.744,26.744,23.795,25.502,764180,19488118.36,,,,,,,,
2017-01-06,27.002,27.002,22.761,22.761,250926,5711326.686,,,,,,,,
2017-01-09,23.899,23.899,21.209,21.623,159553,3450014.5190000003,,,,,,,,
2017-01-10,21.623,22.812,20.329,22.243,129615,2883026.445,,,,,,,,
2017-01-11,21.881,22.761,21.726,22.502,91056,2048942.112,,,,,,,,
2017-01-12,22.347,22.502,21.985,21.985,113008,2484480.88,,,,,,,,
2017-01-13,21.933,22.036,21.726,21.829,168714,3682857.906,,,,,,,,
2017-01-16,21.726,21.726,20.743,21.209,111337,2361346.433,,,,,,,,
2017-01-17,20.95,21.054,20.433,20.64,163282,3370140.48,,,,,,,,
2017-01-18,20.433,20.64,19.657,20.174,115276,2325578.024,,,,,,,,
2017-01-19,20.071,20.433,19.812,20.174,67936,1370540.864,,,,,,,,
2017-01-20,19.916,20.071,19.553,19.709,172546,3400709.114,,,,,,,,
2017-01-23,19.657,19.76,19.553,19.709,95764,1887412.676,,,,,,,,
2017-01-24,19.657,19.916,19.657,19.812,92226,1827181.512,,,,,,,,
2017-01-25,19.709,20.019,19.657,19.916,144059,2869079.044,,,,,,,,
2017-02-02,20.174,20.226,19.709,20.122,35528,714894.416,,,,,,,,
2017-02-03,20.329,20.485,19.967,20.019,191300,3829634.7,,,,,,,,
2017-02-06,20.174,20.174,19.812,19.967,86780,1732736.2599999998,,,,,,,,
2017-02-07,19.916,19.916,19.657,19.76,131437,2597195.12,,,,,,,,
2017-02-08,19.657,20.278,19.657,20.071,95870,1924206.7700000005,,,,,,,,
2017-02-09,20.122,20.122,19.916,20.019,76107,1523586.0329999998,,,,,,,,
2017-02-10,20.019,22.243,20.019,22.192,440047,9765523.024,,,,,,,,
2017-02-13,22.243,23.174,21.985,22.812,281767,6427668.8040000005,,,,,,,,
2017-02-14,22.864,23.019,21.881,21.881,239390,5238092.59,,,,,,,,
2017-02-15,21.778,22.088,21.364,21.467,364184,7817937.927999999,,,,,,,,
2017-02-16,21.519,21.519,20.381,20.536,583476,11982263.136,,,,,,,,
2017-02-17,20.329,20.536,20.122,20.433,765046,15632184.918,,,,,,,,
2017-02-20,20.743,21.933,20.433,21.674,2727835,59123095.79,,,,,,,,
2017-02-21,22.243,22.243,21.002,21.157,419088,8866644.816,,,,,,,,
2017-02-22,21.26,21.26,20.536,20.847,484550,10101413.85,,,,,,,,
2017-02-23,20.64,20.64,17.743,18.571,5427447,100793118.237,,,,,,,,
2017-02-24,19.036,19.036,16.191,17.07,6416518,109529962.26,,,,,,,,
2017-02-27,17.07,19.45,17.07,19.45,6787409,132015105.05,,,,,,,,
2017-02-28,20.691,20.691,17.07,18.105,4390004,79481022.42,,,,,,,,
2017-03-01,18.105,18.467,17.639,18.002,2181891,39278401.782,,,,,,,,
2017-03-02,18.105,18.415,17.691,17.95,1199643,21533591.85,,,,,,,,
2017-03-03,18.053,18.519,17.226,17.588,1844220,32436141.360000003,,,,,,,,
2017-03-06,17.588,17.639,16.708,16.76,2226822,37321536.720000006,,,,,,,,
2017-03-07,16.708,17.846,15.777,16.76,1606464,26924336.640000004,,,,,,,,
2017-03-08,16.708,17.588,16.553,17.329,850130,14731902.77,,,,,,,,
2017-03-09,17.329,17.536,16.864,16.967,697404,11832853.668,,,,,,,,
2017-03-10,16.864,17.07,16.501,16.657,1113605,18549318.485,,,,,,,,
2017-03-13,16.657,16.657,16.139,16.191,1126914,18245864.574,,,,,,,,
2017-03-14,16.243,16.295,15.725,15.829,1815647,28739876.363,,,,,,,,
2017-03-15,15.881,15.932,15.105,15.363,1514931,23273884.953,,,,,,,,
2017-03-16,15.001,15.984,15.001,15.932,837681,13345933.692,,,,,,,,
2017-03-17,15.881,16.398,15.777,15.984,888349,14199370.416,,,,,,,,
2017-03-20,16.139,16.139,15.622,15.984,722569,11549542.896,,,,,,,,
2017-03-21,15.829,16.191,15.777,15.984,707840,11314114.56,,,,,,,,
2017-03-22,15.984,16.191,15.829,15.881,801100,12722269.1,,,,,,,,
2017-03-23,15.932,16.139,15.519,15.725,723036,11369741.1,,,,,,,,
2017-03-24,15.725,15.932,15.622,15.777,515510,8133201.27,,,,,,,,
2017-03-27,15.725,15.777,15.467,15.57,714416,11123457.12,,,,,,,,
2017-03-28,15.57,15.57,15.208,15.363,670572,10301997.636,,,,,,,,
2017-03-29,15.415,15.467,14.95,15.001,981159,14718366.159,,,,,,,,
2017-03-30,15.105,15.105,14.432,14.639,1083200,15856964.8,,,,,,,,
2017-03-31,14.639,14.95,14.174,14.587,743160,10840474.92,,,,,,,,
2017-04-03,14.536,15.467,14.536,15.001,787730,11816737.73,,,,,,,,
2017-04-04,15.053,15.053,14.587,14.587,462781,6750586.447,,,,,,,,
2017-04-05,14.587,14.639,14.484,14.536,384033,5582303.688,,,,,,,,
2017-04-07,14.743,14.743,14.07,14.122,617184,8715872.448,,,,,,,,
2017-04-10,14.432,14.432,13.449,13.501,1163704,15711167.704,,,,,,,,
2017-04-11,13.501,13.501,13.139,13.191,643281,8485519.671,,,,,,,,
2017-04-12,13.139,13.294,12.777,12.829,707577,9077505.333,,,,,,,,
2017-04-13,12.829,13.449,12.518,12.984,704977,9153421.368,,,,,,,,
2017-04-14,12.984,13.191,12.932,13.087,265111,3469507.657,,,,,,,,
2017-04-17,13.191,14.174,13.191,13.708,856975,11747413.3,,,,,,,,
2017-04-18,13.76,14.174,13.553,14.07,807280,11358429.6,,,,,,,,
2017-04-19,14.07,14.484,14.07,14.381,688810,9905776.61,,,,,,,,
2017-04-20,14.381,14.432,13.967,14.07,354266,4984522.62,,,,,,,,
2017-04-21,14.07,14.07,13.553,13.605,514320,6997323.600000001,,,,,,,,
2017-04-24,13.76,13.76,13.139,13.139,694551,9125705.589,,,,,,,,
2017-04-25,13.191,13.501,13.087,13.243,297319,3937395.517,,,,,,,,
2017-04-26,13.294,13.605,13.294,13.501,311740,4208801.74,,,,,,,,
2017-04-27,13.553,13.605,13.294,13.398,251207,3365671.386,,,,,,,,
2017-04-28,13.449,13.501,13.243,13.346,287002,3830328.692,,,,,,,,
2017-05-03,13.449,13.553,13.346,13.398,331400,4440097.2,,,,,,,,
2017-05-04,13.398,13.501,13.294,13.449,395410,5317869.09,,,,,,,,
2017-05-05,13.501,13.501,13.294,13.294,249106,3311615.1640000003,,,,,,,,
2017-05-08,13.449,13.915,13.449,13.76,799336,10998863.36,,,,,,,,
2017-05-09,13.863,13.863,13.605,13.656,430956,5885135.136,,,,,,,,
2017-05-10,13.656,13.967,13.501,13.915,794571,11056455.465,,,,,,,,
2017-05-11,13.863,14.743,13.76,14.536,1031512,14994058.432,,,,,,,,
2017-05-12,14.587,15.312,14.587,15.001,1075746,16137265.746,,,,,,,,
2017-05-15,15.105,15.105,14.639,14.743,734980,10835810.14,,,,,,,,
2017-05-16,14.691,14.743,14.381,14.587,1031675,15049043.225,,,,,,,,
2017-05-17,14.484,14.794,14.432,14.484,401570,5816339.88,,,,,,,,
2017-05-18,14.484,14.691,14.329,14.484,562076,8141108.784,,,,,,,,
2017-05-19,14.484,14.536,14.225,14.277,377214,5385484.278,,,,,,,,
2017-05-22,14.329,14.432,14.277,14.329,355166,5089173.614,,,,,,,,
2017-05-23,14.329,14.432,13.812,13.915,600933,8361982.694999999,,,,,,,,
2017-05-24,13.967,13.967,13.553,13.708,501970,6881004.76,,,,,,,,
2017-05-25,13.708,14.018,13.708,13.915,198959,2768514.485,,,,,,,,
2017-05-26,13.915,13.967,13.656,13.812,211820,2925657.84,,,,,,,,
2017-05-29,13.708,13.863,13.708,13.812,241491,3335473.692,,,,,,,,
2017-05-30,13.656,13.812,13.605,13.656,337461,4608367.416,,,,,,,,
2017-05-31,13.708,13.708,13.605,13.605,263491,3584795.055,,,,,,,,
2017-06-01,13.656,13.967,13.656,13.812,326857,4514548.884,,,,,,,,
2017-06-02,13.812,13.863,13.708,13.76,136437,1877373.12,,,,,,,,
2017-06-05,13.656,13.863,13.656,13.812,263050,3633246.6,,,,,,,,
2017-06-06,13.812,13.863,13.708,13.708,257036,3523449.488,,,,,,,,
2017-06-07,13.76,13.812,13.708,13.76,238549,3282434.24,,,,,,,,
2017-06-08,13.863,14.484,13.812,14.484,875732,12684102.288,,,,,,,,
2017-06-09,14.277,14.691,14.174,14.225,372451,5298115.475,,,,,,,,
2017-06-12,14.122,14.225,13.656,13.915,473895,6594248.925,,,,,,,,
2017-06-13,13.915,14.122,13.812,13.863,365658,5069116.854,,,,,,,,
2017-06-14,13.915,14.07,13.812,13.863,230554,3196170.102,,,,,,,,
2017-06-15,13.812,13.967,13.708,13.812,246495,3404588.94,,,,,,,,
2017-06-16,13.812,14.174,13.76,14.07,241990,3404799.3000000003,,,,,,,,
2017-06-19,14.122,14.122,13.863,13.915,184599,2568695.085,,,,,,,,
2017-06-20,13.812,14.07,13.812,13.915,422340,5876861.1,,,,,,,,
2017-06-21,13.967,13.967,13.76,13.76,319507,4396416.32,,,,,,,,
